county_id,county_name,district_id,district_name,reg_district_id,muniflag,reg_name,gen_fun_sch_levy,strwo_entv,strwo_entv_dt2,strwo_gfst_rate,total_sch_levy,strwi_entv,strwi_entv_dt2,strwi_tst_rate,gen_fun_sch_levy2,estrwo_eev,estrwo_eev_dt2,estrwo_gfst_rate,total_sch_levy2,estrwi_eev,estrwi_eev_dt2,estrwi_etst_rate
1,Atlantic,10,Absecon City,,,,11914429,707814800,1-Jan-19,1.683,12177089,707814800,1-Jan-19,1.72,11914429,749575777,1-Oct-18,1.59,12177089,749575777,1-Oct-18,1.625
1,Atlantic,110,Atlantic City,,,,81888890,2882992240,1-Oct-18,2.84,42702131,2882992240,1-Oct-18,1.481,81888890,2757788636,1-Oct-18,2.969,42702131,2757788636,1-Oct-18,1.548
1,Atlantic,570,Brigantine City,,,,15888114,3266336200,1-Oct-18,0.4864,15888114,3266336200,1-Oct-18,0.4864,15888114,3292677621,1-Oct-18,0.4825,15888114,3292677621,1-Oct-18,0.4825
1,Atlantic,590,Buena Regional,590,A,BUENA BORO,4318344,290457400,1-Oct-18,1.487,4709804,290457400,1-Oct-18,1.622,4318344,258414057,1-Oct-18,1.671,4709804,258414057,1-Oct-18,1.823
1,Atlantic,590,Buena Regional,590,B,BUENA VISTA TWP,9438073,638019550,1-Oct-18,1.479,10293367,638019550,1-Oct-18,1.613,9438073,573630854,1-Oct-18,1.645,10293367,573630854,1-Oct-18,1.794
1,Atlantic,960,Corbin City,,,,510842,50904400,10-Jan-19,1.004,510842,50904400,10-Jan-19,1.004,510842,51526523,1-Oct-18,0.9914,510842,51526523,1-Oct-18,0.9914
1,Atlantic,1300,Egg Harbor City,,,,2795664,198723500,18-Jan-19,1.407,3268423,198723500,18-Jan-19,1.645,2795664,215565203,1-Oct-18,1.297,3268423,215565203,1-Oct-18,1.516
1,Atlantic,1310,Egg Harbor Twp,,,,78288539,4037883650,15-Jan-19,1.939,83950995,4037883650,15-Jan-19,2.079,78288539,4080188256,1-Oct-18,1.919,83950995,4080188256,1-Oct-18,2.058
1,Atlantic,1410,Estell Manor City,,,,2487524,154115073,1-Oct-18,1.614,2504678,154115073,1-Oct-18,1.625,2487524,169336398,1-Oct-18,1.469,2504678,169336398,1-Oct-18,1.479
1,Atlantic,1540,Folsom Boro,,,,1682054,173365600,1-Oct-18,0.9702,1903804,173365600,1-Oct-18,1.098,1682054,169700078,1-Oct-18,0.9912,1903804,169700078,1-Oct-18,1.122
