"county_id","county_name","district_id","district_name","line_desc","year_1","year_2","year_3","year_4","year_5"
01,"Atlantic",0010,"Absecon City","Total Budgetary Comparative Per Pupil Cost",12199,11548,12269,13803,14709
01,"Atlantic",0010,"Absecon City","Total Classroom Instruction",8217,7738,8189,8822,9432
01,"Atlantic",0010,"Absecon City","Classroom-Salaries and Benefits",8032,7508,7919,8387,9074
01,"Atlantic",0010,"Absecon City","Classroom-General Supplies and Textbooks",126,174,189,343,279
01,"Atlantic",0010,"Absecon City","Classroom-Purchased Services",58,56,81,93,79
01,"Atlantic",0010,"Absecon City","Total Support Services",1388,1338,1357,1881,2170
01,"Atlantic",0010,"Absecon City","Support Services-Salaries and Benefits",1231,1175,1204,1439,1834
01,"Atlantic",0010,"Absecon City","Total Administrative Costs",1385,1388,1471,1691,1691
01,"Atlantic",0010,"Absecon City","Administration Salaries and Benefits",1147,1155,1188,1309,1344
01,"Atlantic",0010,"Absecon City","Total Operations and Maintenance of Plant",1148,1021,1186,1330,1298
01,"Atlantic",0010,"Absecon City","Operations and Maintenance-Salaries and Benefits",657,599,650,664,688
01,"Atlantic",0010,"Absecon City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0010,"Absecon City","Total Extracurricular Costs",53,55,55,67,108
01,"Atlantic",0010,"Absecon City","Total Equipment Costs",3,3,59,84,3
01,"Atlantic",0010,"Absecon City","Legal Costs",15,21,29,56,40
01,"Atlantic",0010,"Absecon City","Employee Benefits as a percentage of salaries","29.90%","31.08%","34.02%","35.50%","35.16%"
01,"Atlantic",0110,"Atlantic City","Total Budgetary Comparative Per Pupil Cost",16669,16478,16980,19383,19703
01,"Atlantic",0110,"Atlantic City","Total Classroom Instruction",10894,10809,10860,12334,12545
01,"Atlantic",0110,"Atlantic City","Classroom-Salaries and Benefits",10088,10093,10047,11358,11514
01,"Atlantic",0110,"Atlantic City","Classroom-General Supplies and Textbooks",295,264,334,400,462
01,"Atlantic",0110,"Atlantic City","Classroom-Purchased Services",512,452,479,576,569
01,"Atlantic",0110,"Atlantic City","Total Support Services",1760,1713,1807,2064,2259
01,"Atlantic",0110,"Atlantic City","Support Services-Salaries and Benefits",1578,1530,1602,1805,1946
01,"Atlantic",0110,"Atlantic City","Total Administrative Costs",1582,1654,1700,1945,1929
01,"Atlantic",0110,"Atlantic City","Administration Salaries and Benefits",1274,1314,1272,1438,1391
01,"Atlantic",0110,"Atlantic City","Total Operations and Maintenance of Plant",2280,2162,2433,2836,2791
01,"Atlantic",0110,"Atlantic City","Operations and Maintenance-Salaries and Benefits",1264,1200,1265,1391,1364
01,"Atlantic",0110,"Atlantic City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0110,"Atlantic City","Total Extracurricular Costs",115,109,151,168,139
01,"Atlantic",0110,"Atlantic City","Total Equipment Costs",54,88,88,332,128
01,"Atlantic",0110,"Atlantic City","Legal Costs",108,81,87,98,97
01,"Atlantic",0110,"Atlantic City","Employee Benefits as a percentage of salaries","32.87%","25.38%","35.34%","35.30%","33.12%"
01,"Atlantic",0120,"Atlantic Co Vocational","Total Budgetary Comparative Per Pupil Cost",12491,13166,14892,14560,16078
01,"Atlantic",0120,"Atlantic Co Vocational","Total Classroom Instruction",6685,7356,8329,7923,8925
01,"Atlantic",0120,"Atlantic Co Vocational","Classroom-Salaries and Benefits",6052,6685,7614,7318,8267
01,"Atlantic",0120,"Atlantic Co Vocational","Classroom-General Supplies and Textbooks",399,445,493,384,492
01,"Atlantic",0120,"Atlantic Co Vocational","Classroom-Purchased Services",233,225,223,221,166
01,"Atlantic",0120,"Atlantic Co Vocational","Total Support Services",1411,1443,1614,1719,1912
