"county_id","county_name","district_id","district_name","line_no","account","line_desc","amount_1","amount_2","amount_3"
01,"Atlantic",0010,"Absecon City",100,"'10-1210","Local Tax Levy",11661111.00,11914429.00,11914429.00
01,"Atlantic",0010,"Absecon City",190,"'10-1300","Total Tuition",89982.00,8927.00,46504.00
01,"Atlantic",0010,"Absecon City",240,"'10-1410","Transportation Fees from Individuals",450.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",300,"'10-1XXX","Unrestricted Miscellaneous Revenues",17909.00,4100.00,4100.00
01,"Atlantic",0010,"Absecon City",330,"'10-1XXX","Interest Earned on Maintenance Reserve",5.00,2.00,2.00
01,"Atlantic",0010,"Absecon City",340,"'10-1XXX","Interest Earned on Capital Reserve Funds",203.00,10.00,10.00
01,"Atlantic",0010,"Absecon City",370,"'","Total Revenues from Local Sources",11769660.00,11927468.00,11965045.00
01,"Atlantic",0010,"Absecon City",420,"'10-3121","Categorical Transportation Aid",69426.00,343882.00,343882.00
01,"Atlantic",0010,"Absecon City",430,"'10-3131","Extraordinary Aid",25719.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",440,"'10-3132","Categorical Special Education Aid",515308.00,756476.00,756476.00
01,"Atlantic",0010,"Absecon City",460,"'10-3176","Equalization Aid",952393.00,1702169.00,1992142.00
01,"Atlantic",0010,"Absecon City",470,"'10-3177","Categorical Security Aid",51965.00,261412.00,261412.00
01,"Atlantic",0010,"Absecon City",482,"'10-3180","Under Adequacy Aid",77534.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",483,"'10-3181","PARCC Readiness Aid",9570.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",484,"'10-3182","Per Pupil Growth Aid",9570.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",485,"'10-3183","Professional Learning Community Aid",9030.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",500,"'10-3XXX","Other State Aids",17400.00,0.00,0.00
01,"Atlantic",0010,"Absecon City",520,"'","Total Revenues from State Sources",1737915.00,3063939.00,3353912.00
01,"Atlantic",0010,"Absecon City",540,"'10-4200","Medicaid Reimbursement",6220.00,21227.00,28023.00
01,"Atlantic",0010,"Absecon City",570,"'","Total Revenues from Federal Sources",6220.00,21227.00,28023.00
