"COUNTY_ID","CONAME","DISTRICT_ID","DISTNAME","ENROLL_LINE_NO","ENROLL_CAT","AMOUNT_1","AMOUNT_2","AMOUNT_3"
01,"Atlantic",0010,"Absecon City",11,"Onroll (Full)",802.0,818.0,844.0
01,"Atlantic",0010,"Absecon City",21,"Onroll (SpEd Full)",93.0,117.0,117.0
01,"Atlantic",0010,"Absecon City",40,"Sent Private School",4.0,3.0,2.0
01,"Atlantic",0010,"Absecon City",51,"Sent Oth Dist Reg",25.0,27.0,22.0
01,"Atlantic",0010,"Absecon City",52,"Sent Oth Dist SpEd",23.0,10.0,12.0
01,"Atlantic",0010,"Absecon City",60,"Received Oth Dist",34.0,9.0,1.0
01,"Atlantic",0010,"Absecon City",70,"State Facilities",2.0,,0.0
01,"Atlantic",0110,"Atlantic City",11,"Onroll (Full)",6414.0,6369.0,6497.0
01,"Atlantic",0110,"Atlantic City",21,"Onroll (SpEd Full)",914.0,904.0,839.0
01,"Atlantic",0110,"Atlantic City",40,"Sent Private School",44.0,41.0,0.0
01,"Atlantic",0110,"Atlantic City",51,"Sent Oth Dist Reg",49.0,51.0,51.0
01,"Atlantic",0110,"Atlantic City",52,"Sent Oth Dist SpEd",59.0,68.0,68.0
01,"Atlantic",0110,"Atlantic City",60,"Received Oth Dist",587.0,349.0,349.0
01,"Atlantic",0110,"Atlantic City",70,"State Facilities",40.0,45.0,45.0
01,"Atlantic",0120,"Atlantic Co Vocational",11,"Onroll (Full)",1463.0,1524.0,1635.0
01,"Atlantic",0120,"Atlantic Co Vocational",21,"Onroll (SpEd Full)",185.0,183.0,97.0
01,"Atlantic",0120,"Atlantic Co Vocational",30,"Post-Secondary (Full)",21.0,26.0,0.0
01,"Atlantic",0125,"Atlantic Co Special Serv",21,"Onroll (SpEd Full)",309.0,322.0,314.0
01,"Atlantic",0570,"Brigantine City",11,"Onroll (Full)",503.0,478.0,469.0
01,"Atlantic",0570,"Brigantine City",21,"Onroll (SpEd Full)",67.0,54.0,51.0
01,"Atlantic",0570,"Brigantine City",40,"Sent Private School",1.0,,1.0
01,"Atlantic",0570,"Brigantine City",51,"Sent Oth Dist Reg",88.0,81.0,102.0
01,"Atlantic",0570,"Brigantine City",52,"Sent Oth Dist SpEd",15.0,13.0,21.0
01,"Atlantic",0570,"Brigantine City",60,"Received Oth Dist",5.0,,0.0
01,"Atlantic",0590,"Buena Regional",11,"Onroll (Full)",1368.0,1400.0,1423.0
01,"Atlantic",0590,"Buena Regional",21,"Onroll (SpEd Full)",322.0,284.0,279.0
01,"Atlantic",0590,"Buena Regional",40,"Sent Private School",31.0,35.0,27.0
01,"Atlantic",0590,"Buena Regional",51,"Sent Oth Dist Reg",5.0,3.0,1.0
01,"Atlantic",0590,"Buena Regional",52,"Sent Oth Dist SpEd",24.0,20.0,21.0
01,"Atlantic",0590,"Buena Regional",60,"Received Oth Dist",81.0,80.0,76.0
01,"Atlantic",0590,"Buena Regional",70,"State Facilities",1.0,,0.0
01,"Atlantic",0960,"Corbin City",51,"Sent Oth Dist Reg",60.0,63.0,59.0
01,"Atlantic",0960,"Corbin City",52,"Sent Oth Dist SpEd",4.0,5.0,6.0
01,"Atlantic",1300,"Egg Harbor City",11,"Onroll (Full)",421.0,397.0,392.0
01,"Atlantic",1300,"Egg Harbor City",21,"Onroll (SpEd Full)",127.0,105.0,117.0
01,"Atlantic",1300,"Egg Harbor City",40,"Sent Private School",1.0,4.0,3.0
01,"Atlantic",1300,"Egg Harbor City",52,"Sent Oth Dist SpEd",13.0,14.0,11.0
01,"Atlantic",1300,"Egg Harbor City",60,"Received Oth Dist",21.0,17.0,0.0
01,"Atlantic",1310,"Egg Harbor Twp",11,"Onroll (Full)",6492.0,6378.5,6368.0
01,"Atlantic",1310,"Egg Harbor Twp",21,"Onroll (SpEd Full)",965.0,1019.5,950.0
01,"Atlantic",1310,"Egg Harbor Twp",40,"Sent Private School",24.0,27.0,28.0
01,"Atlantic",1310,"Egg Harbor Twp",51,"Sent Oth Dist Reg",12.0,10.0,8.0
01,"Atlantic",1310,"Egg Harbor Twp",52,"Sent Oth Dist SpEd",52.0,44.0,39.0
