"county_id","county_name","district_id","district_name","line_desc","year_1","year_2","year_3","year_4","year_5"
01,"Atlantic",0010,"Absecon City","Total Budgetary Comparative Per Pupil Cost",11548,12878,14709,14708,15479
01,"Atlantic",0010,"Absecon City","Total Classroom Instruction",7738,8490,9432,9135,9493
01,"Atlantic",0010,"Absecon City","Classroom-Salaries and Benefits",7508,8148,9074,8760,8937
01,"Atlantic",0010,"Absecon City","Classroom-General Supplies and Textbooks",174,255,279,262,470
01,"Atlantic",0010,"Absecon City","Classroom-Purchased Services",56,87,79,113,87
01,"Atlantic",0010,"Absecon City","Total Support Services",1338,1614,2170,2437,2888
01,"Atlantic",0010,"Absecon City","Support Services-Salaries and Benefits",1175,1338,1834,2065,2474
01,"Atlantic",0010,"Absecon City","Total Administrative Costs",1388,1570,1691,1775,1767
01,"Atlantic",0010,"Absecon City","Administration Salaries and Benefits",1155,1252,1344,1299,1284
01,"Atlantic",0010,"Absecon City","Total Operations and Maintenance of Plant",1021,1122,1298,1247,1211
01,"Atlantic",0010,"Absecon City","Operations and Maintenance-Salaries and Benefits",599,591,688,619,626
01,"Atlantic",0010,"Absecon City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0010,"Absecon City","Total Extracurricular Costs",55,73,108,104,107
01,"Atlantic",0010,"Absecon City","Total Equipment Costs",3,89,3,126,71
01,"Atlantic",0010,"Absecon City","Legal Costs",21,35,40,83,150
01,"Atlantic",0010,"Absecon City","Employee Benefits as a percentage of salaries","31.08%","32.23%","35.16%","32.93%","32.77%"
01,"Atlantic",0110,"Atlantic City","Total Budgetary Comparative Per Pupil Cost",16478,17954,19703,20277,20549
01,"Atlantic",0110,"Atlantic City","Total Classroom Instruction",10809,11568,12545,12941,13100
01,"Atlantic",0110,"Atlantic City","Classroom-Salaries and Benefits",10093,10689,11514,11789,11516
01,"Atlantic",0110,"Atlantic City","Classroom-General Supplies and Textbooks",264,340,462,457,472
01,"Atlantic",0110,"Atlantic City","Classroom-Purchased Services",452,539,569,695,1112
01,"Atlantic",0110,"Atlantic City","Total Support Services",1713,1946,2259,2315,2407
01,"Atlantic",0110,"Atlantic City","Support Services-Salaries and Benefits",1530,1815,1946,1991,2067
01,"Atlantic",0110,"Atlantic City","Total Administrative Costs",1654,1776,1929,2014,2011
01,"Atlantic",0110,"Atlantic City","Administration Salaries and Benefits",1314,1358,1391,1424,1430
01,"Atlantic",0110,"Atlantic City","Total Operations and Maintenance of Plant",2162,2514,2791,2820,2828
01,"Atlantic",0110,"Atlantic City","Operations and Maintenance-Salaries and Benefits",1200,1263,1364,1397,1390
01,"Atlantic",0110,"Atlantic City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0110,"Atlantic City","Total Extracurricular Costs",109,118,139,145,168
01,"Atlantic",0110,"Atlantic City","Total Equipment Costs",88,301,128,186,181
01,"Atlantic",0110,"Atlantic City","Legal Costs",81,78,97,100,99
01,"Atlantic",0110,"Atlantic City","Employee Benefits as a percentage of salaries","25.38%","25.67%","33.12%","33.12%","33.18%"
01,"Atlantic",0120,"Atlantic Co Vocational","Total Budgetary Comparative Per Pupil Cost",13166,13584,16078,15635,16376
01,"Atlantic",0120,"Atlantic Co Vocational","Total Classroom Instruction",7356,7462,8925,8475,9104
01,"Atlantic",0120,"Atlantic Co Vocational","Classroom-Salaries and Benefits",6685,6979,8267,7820,8409
01,"Atlantic",0120,"Atlantic Co Vocational","Classroom-General Supplies and Textbooks",445,293,492,494,509
01,"Atlantic",0120,"Atlantic Co Vocational","Classroom-Purchased Services",225,191,166,161,186
01,"Atlantic",0120,"Atlantic Co Vocational","Total Support Services",1443,1642,1912,1855,1978
01,"Atlantic",0120,"Atlantic Co Vocational","Support Services-Salaries and Benefits",1322,1474,1707,1653,1765
01,"Atlantic",0120,"Atlantic Co Vocational","Total Administrative Costs",1410,1487,1708,1672,1809
01,"Atlantic",0120,"Atlantic Co Vocational","Administration Salaries and Benefits",996,1060,1253,1214,1271
01,"Atlantic",0120,"Atlantic Co Vocational","Total Operations and Maintenance of Plant",2458,2457,2872,2937,2938
01,"Atlantic",0120,"Atlantic Co Vocational","Operations and Maintenance-Salaries and Benefits",1298,1310,1571,1497,1538
01,"Atlantic",0120,"Atlantic Co Vocational","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0120,"Atlantic Co Vocational","Total Extracurricular Costs",333,384,475,460,486
01,"Atlantic",0120,"Atlantic Co Vocational","Total Equipment Costs",102,258,194,211,84
01,"Atlantic",0120,"Atlantic Co Vocational","Legal Costs",23,27,24,30,27
01,"Atlantic",0120,"Atlantic Co Vocational","Employee Benefits as a percentage of salaries","34.81%","33.87%","39.91%","40.08%","41.08%"
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Budgetary Comparative Per Pupil Cost",51102,37946,58965,58034,58174
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Classroom Instruction",28405,20396,32033,31536,31774
01,"Atlantic",0125,"Atlantic Co Special Serv","Classroom-Salaries and Benefits",26878,19040,29972,29294,29564
01,"Atlantic",0125,"Atlantic Co Special Serv","Classroom-General Supplies and Textbooks",263,172,317,329,384
01,"Atlantic",0125,"Atlantic Co Special Serv","Classroom-Purchased Services",1264,1184,1744,1913,1826
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Support Services",10138,8077,12115,11740,11594
01,"Atlantic",0125,"Atlantic Co Special Serv","Support Services-Salaries and Benefits",9591,7817,11617,11129,10893
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Administrative Costs",6543,4972,7381,7276,7146
01,"Atlantic",0125,"Atlantic Co Special Serv","Administration Salaries and Benefits",5363,4174,6018,5921,5542
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Operations and Maintenance of Plant",5670,4500,7301,7335,7522
01,"Atlantic",0125,"Atlantic Co Special Serv","Operations and Maintenance-Salaries and Benefits",2994,2551,3857,3828,3953
01,"Atlantic",0125,"Atlantic Co Special Serv","Board Contribution to Food Services",345,0,127,124,127
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Extracurricular Costs",0,0,0,0,0
01,"Atlantic",0125,"Atlantic Co Special Serv","Total Equipment Costs",371,120,33,33,67
01,"Atlantic",0125,"Atlantic Co Special Serv","Legal Costs",146,116,159,162,166
01,"Atlantic",0125,"Atlantic Co Special Serv","Employee Benefits as a percentage of salaries","43.59%","43.58%","48.49%","49.27%","43.05%"
01,"Atlantic",0570,"Brigantine City","Total Budgetary Comparative Per Pupil Cost",23063,24726,26493,29244,29128
01,"Atlantic",0570,"Brigantine City","Total Classroom Instruction",14568,15793,16686,18133,17802
01,"Atlantic",0570,"Brigantine City","Classroom-Salaries and Benefits",14212,15304,16009,17246,16896
01,"Atlantic",0570,"Brigantine City","Classroom-General Supplies and Textbooks",264,399,466,664,670
01,"Atlantic",0570,"Brigantine City","Classroom-Purchased Services",92,90,211,223,235
01,"Atlantic",0570,"Brigantine City","Total Support Services",3511,3690,4100,4628,4736
01,"Atlantic",0570,"Brigantine City","Support Services-Salaries and Benefits",3122,3293,3451,3909,3968
01,"Atlantic",0570,"Brigantine City","Total Administrative Costs",1984,2054,1947,2210,2157
01,"Atlantic",0570,"Brigantine City","Administration Salaries and Benefits",1611,1650,1511,1721,1645
01,"Atlantic",0570,"Brigantine City","Total Operations and Maintenance of Plant",2751,2921,3410,3895,4041
01,"Atlantic",0570,"Brigantine City","Operations and Maintenance-Salaries and Benefits",1661,1753,1844,2113,2061
01,"Atlantic",0570,"Brigantine City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0570,"Brigantine City","Total Extracurricular Costs",237,248,336,364,381
01,"Atlantic",0570,"Brigantine City","Total Equipment Costs",169,342,322,170,334
01,"Atlantic",0570,"Brigantine City","Legal Costs",13,27,53,56,59
01,"Atlantic",0570,"Brigantine City","Employee Benefits as a percentage of salaries","32.99%","34.57%","40.37%","39.76%","38.09%"
01,"Atlantic",0590,"Buena Regional","Total Budgetary Comparative Per Pupil Cost",16313,17515,18051,19089,18678
01,"Atlantic",0590,"Buena Regional","Total Classroom Instruction",9648,9995,10289,10691,10791
01,"Atlantic",0590,"Buena Regional","Classroom-Salaries and Benefits",9243,9593,9764,10187,10267
01,"Atlantic",0590,"Buena Regional","Classroom-General Supplies and Textbooks",125,135,197,197,213
01,"Atlantic",0590,"Buena Regional","Classroom-Purchased Services",281,266,327,308,311
01,"Atlantic",0590,"Buena Regional","Total Support Services",2558,2735,2958,3141,3018
01,"Atlantic",0590,"Buena Regional","Support Services-Salaries and Benefits",2056,2170,2350,2420,2284
01,"Atlantic",0590,"Buena Regional","Total Administrative Costs",1828,1922,2093,2324,2159
01,"Atlantic",0590,"Buena Regional","Administration Salaries and Benefits",1432,1437,1536,1584,1526
01,"Atlantic",0590,"Buena Regional","Total Operations and Maintenance of Plant",1794,2361,2129,2329,2087
01,"Atlantic",0590,"Buena Regional","Operations and Maintenance-Salaries and Benefits",833,851,888,920,965
01,"Atlantic",0590,"Buena Regional","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",0590,"Buena Regional","Total Extracurricular Costs",485,502,579,601,619
01,"Atlantic",0590,"Buena Regional","Total Equipment Costs",175,132,273,290,321
01,"Atlantic",0590,"Buena Regional","Legal Costs",26,42,29,30,39
01,"Atlantic",0590,"Buena Regional","Employee Benefits as a percentage of salaries","35.58%","34.07%","33.94%","37.25%","34.31%"
01,"Atlantic",1300,"Egg Harbor City","Total Budgetary Comparative Per Pupil Cost",13439,14674,15458,17904,18125
01,"Atlantic",1300,"Egg Harbor City","Total Classroom Instruction",7965,8275,8943,10258,10441
01,"Atlantic",1300,"Egg Harbor City","Classroom-Salaries and Benefits",7508,7766,8291,9544,9712
01,"Atlantic",1300,"Egg Harbor City","Classroom-General Supplies and Textbooks",273,341,463,512,517
01,"Atlantic",1300,"Egg Harbor City","Classroom-Purchased Services",185,168,190,203,211
01,"Atlantic",1300,"Egg Harbor City","Total Support Services",2247,2568,2658,3130,3153
01,"Atlantic",1300,"Egg Harbor City","Support Services-Salaries and Benefits",2024,2246,2264,2646,2640
01,"Atlantic",1300,"Egg Harbor City","Total Administrative Costs",1479,1515,1566,1909,1891
01,"Atlantic",1300,"Egg Harbor City","Administration Salaries and Benefits",1239,1269,1276,1581,1546
01,"Atlantic",1300,"Egg Harbor City","Total Operations and Maintenance of Plant",1626,2195,2123,2411,2451
01,"Atlantic",1300,"Egg Harbor City","Operations and Maintenance-Salaries and Benefits",715,910,1074,1036,1074
01,"Atlantic",1300,"Egg Harbor City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1300,"Egg Harbor City","Total Extracurricular Costs",121,121,167,195,190
01,"Atlantic",1300,"Egg Harbor City","Total Equipment Costs",0,86,0,7,141
01,"Atlantic",1300,"Egg Harbor City","Legal Costs",2,2,9,4,10
01,"Atlantic",1300,"Egg Harbor City","Employee Benefits as a percentage of salaries","28.08%","29.37%","34.94%","34.74%","34.05%"
01,"Atlantic",1310,"Egg Harbor Twp","Total Budgetary Comparative Per Pupil Cost",14330,15179,16191,16038,17134
01,"Atlantic",1310,"Egg Harbor Twp","Total Classroom Instruction",8517,8799,9372,9239,10106
01,"Atlantic",1310,"Egg Harbor Twp","Classroom-Salaries and Benefits",8139,8431,9028,8921,9677
01,"Atlantic",1310,"Egg Harbor Twp","Classroom-General Supplies and Textbooks",173,135,177,156,230
01,"Atlantic",1310,"Egg Harbor Twp","Classroom-Purchased Services",206,232,167,163,199
01,"Atlantic",1310,"Egg Harbor Twp","Total Support Services",2710,3004,3228,3159,3363
01,"Atlantic",1310,"Egg Harbor Twp","Support Services-Salaries and Benefits",2419,2703,2950,2862,3066
01,"Atlantic",1310,"Egg Harbor Twp","Total Administrative Costs",1192,1238,1269,1376,1323
01,"Atlantic",1310,"Egg Harbor Twp","Administration Salaries and Benefits",972,1016,1047,1158,1086
01,"Atlantic",1310,"Egg Harbor Twp","Total Operations and Maintenance of Plant",1605,1785,1946,1902,1957
01,"Atlantic",1310,"Egg Harbor Twp","Operations and Maintenance-Salaries and Benefits",1009,1093,1137,1114,1167
01,"Atlantic",1310,"Egg Harbor Twp","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1310,"Egg Harbor Twp","Total Extracurricular Costs",169,196,199,195,208
01,"Atlantic",1310,"Egg Harbor Twp","Total Equipment Costs",85,93,5,54,4
01,"Atlantic",1310,"Egg Harbor Twp","Legal Costs",36,38,41,41,41
01,"Atlantic",1310,"Egg Harbor Twp","Employee Benefits as a percentage of salaries","38.62%","40.02%","40.27%","37.18%","36.58%"
01,"Atlantic",1410,"Estell Manor City","Total Budgetary Comparative Per Pupil Cost",16868,16790,18014,16628,16152
01,"Atlantic",1410,"Estell Manor City","Total Classroom Instruction",9896,9982,10406,9605,9292
01,"Atlantic",1410,"Estell Manor City","Classroom-Salaries and Benefits",9335,9718,10094,9317,9015
01,"Atlantic",1410,"Estell Manor City","Classroom-General Supplies and Textbooks",506,203,250,230,223
01,"Atlantic",1410,"Estell Manor City","Classroom-Purchased Services",55,61,62,57,54
01,"Atlantic",1410,"Estell Manor City","Total Support Services",2157,2329,2661,2456,2485
01,"Atlantic",1410,"Estell Manor City","Support Services-Salaries and Benefits",1908,2053,2273,2098,2153
01,"Atlantic",1410,"Estell Manor City","Total Administrative Costs",1982,1876,1845,1703,1685
01,"Atlantic",1410,"Estell Manor City","Administration Salaries and Benefits",1628,1459,1421,1312,1289
01,"Atlantic",1410,"Estell Manor City","Total Operations and Maintenance of Plant",2728,2540,2860,2640,2468
01,"Atlantic",1410,"Estell Manor City","Operations and Maintenance-Salaries and Benefits",1237,1215,1321,1219,1053
01,"Atlantic",1410,"Estell Manor City","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1410,"Estell Manor City","Total Extracurricular Costs",28,16,137,127,139
01,"Atlantic",1410,"Estell Manor City","Total Equipment Costs",0,0,0,0,0
01,"Atlantic",1410,"Estell Manor City","Legal Costs",88,69,67,56,57
01,"Atlantic",1410,"Estell Manor City","Employee Benefits as a percentage of salaries","36.89%","30.51%","32.70%","32.70%","29.34%"
01,"Atlantic",1540,"Folsom Boro","Total Budgetary Comparative Per Pupil Cost",14118,14156,14669,15391,15506
01,"Atlantic",1540,"Folsom Boro","Total Classroom Instruction",8648,8681,8898,8963,9228
01,"Atlantic",1540,"Folsom Boro","Classroom-Salaries and Benefits",8112,8119,8365,8415,8741
01,"Atlantic",1540,"Folsom Boro","Classroom-General Supplies and Textbooks",258,259,316,314,251
01,"Atlantic",1540,"Folsom Boro","Classroom-Purchased Services",278,303,217,234,236
01,"Atlantic",1540,"Folsom Boro","Total Support Services",2439,2579,2608,2845,2825
01,"Atlantic",1540,"Folsom Boro","Support Services-Salaries and Benefits",2234,2395,2404,2558,2587
01,"Atlantic",1540,"Folsom Boro","Total Administrative Costs",1418,1414,1491,1657,1592
01,"Atlantic",1540,"Folsom Boro","Administration Salaries and Benefits",1094,1099,1138,1156,1173
01,"Atlantic",1540,"Folsom Boro","Total Operations and Maintenance of Plant",1465,1341,1489,1741,1679
01,"Atlantic",1540,"Folsom Boro","Operations and Maintenance-Salaries and Benefits",637,630,681,685,702
01,"Atlantic",1540,"Folsom Boro","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1540,"Folsom Boro","Total Extracurricular Costs",142,133,175,177,173
01,"Atlantic",1540,"Folsom Boro","Total Equipment Costs",15,105,0,41,0
01,"Atlantic",1540,"Folsom Boro","Legal Costs",18,28,38,39,63
01,"Atlantic",1540,"Folsom Boro","Employee Benefits as a percentage of salaries","35.57%","35.31%","37.02%","34.01%","34.43%"
01,"Atlantic",1690,"Galloway Twp","Total Budgetary Comparative Per Pupil Cost",15314,16058,17032,17485,18066
01,"Atlantic",1690,"Galloway Twp","Total Classroom Instruction",10140,10615,11209,11305,11944
01,"Atlantic",1690,"Galloway Twp","Classroom-Salaries and Benefits",9854,10251,10735,10785,11505
01,"Atlantic",1690,"Galloway Twp","Classroom-General Supplies and Textbooks",214,290,407,442,364
01,"Atlantic",1690,"Galloway Twp","Classroom-Purchased Services",72,75,68,78,75
01,"Atlantic",1690,"Galloway Twp","Total Support Services",2095,2245,2567,2591,2747
01,"Atlantic",1690,"Galloway Twp","Support Services-Salaries and Benefits",1932,2096,2259,2292,2450
01,"Atlantic",1690,"Galloway Twp","Total Administrative Costs",1386,1550,1571,1743,1632
01,"Atlantic",1690,"Galloway Twp","Administration Salaries and Benefits",1223,1309,1345,1514,1385
01,"Atlantic",1690,"Galloway Twp","Total Operations and Maintenance of Plant",1645,1599,1627,1788,1681
01,"Atlantic",1690,"Galloway Twp","Operations and Maintenance-Salaries and Benefits",833,847,878,880,920
01,"Atlantic",1690,"Galloway Twp","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1690,"Galloway Twp","Total Extracurricular Costs",37,37,45,46,47
01,"Atlantic",1690,"Galloway Twp","Total Equipment Costs",0,0,9,28,26
01,"Atlantic",1690,"Galloway Twp","Legal Costs",7,19,16,21,16
01,"Atlantic",1690,"Galloway Twp","Employee Benefits as a percentage of salaries","35.45%","36.98%","42.57%","40.74%","41.86%"
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Budgetary Comparative Per Pupil Cost",16523,16788,17985,18413,18860
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Classroom Instruction",9222,9349,9990,10096,10489
01,"Atlantic",1790,"Greater Egg Harbor Reg","Classroom-Salaries and Benefits",8358,8436,8872,8916,9273
01,"Atlantic",1790,"Greater Egg Harbor Reg","Classroom-General Supplies and Textbooks",258,299,394,449,405
01,"Atlantic",1790,"Greater Egg Harbor Reg","Classroom-Purchased Services",606,614,724,730,811
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Support Services",2156,2155,2233,2258,2374
01,"Atlantic",1790,"Greater Egg Harbor Reg","Support Services-Salaries and Benefits",2002,1993,2079,2100,2217
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Administrative Costs",1751,1781,1851,1967,1942
01,"Atlantic",1790,"Greater Egg Harbor Reg","Administration Salaries and Benefits",1236,1255,1315,1323,1389
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Operations and Maintenance of Plant",2459,2498,2813,2986,2859
01,"Atlantic",1790,"Greater Egg Harbor Reg","Operations and Maintenance-Salaries and Benefits",1398,1327,1424,1431,1480
01,"Atlantic",1790,"Greater Egg Harbor Reg","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Extracurricular Costs",919,991,1079,1088,1174
01,"Atlantic",1790,"Greater Egg Harbor Reg","Total Equipment Costs",1,15,0,0,0
01,"Atlantic",1790,"Greater Egg Harbor Reg","Legal Costs",25,21,26,23,27
01,"Atlantic",1790,"Greater Egg Harbor Reg","Employee Benefits as a percentage of salaries","28.67%","26.60%","28.06%","27.71%","29.90%"
01,"Atlantic",1940,"Hamilton Twp","Total Budgetary Comparative Per Pupil Cost",13217,13551,14691,14874,15349
01,"Atlantic",1940,"Hamilton Twp","Total Classroom Instruction",8508,8760,9371,9460,9707
01,"Atlantic",1940,"Hamilton Twp","Classroom-Salaries and Benefits",8176,8426,8998,9081,9195
01,"Atlantic",1940,"Hamilton Twp","Classroom-General Supplies and Textbooks",262,248,283,264,414
01,"Atlantic",1940,"Hamilton Twp","Classroom-Purchased Services",71,86,91,116,98
01,"Atlantic",1940,"Hamilton Twp","Total Support Services",1890,2087,2404,2508,2712
01,"Atlantic",1940,"Hamilton Twp","Support Services-Salaries and Benefits",1693,1884,2211,2207,2245
01,"Atlantic",1940,"Hamilton Twp","Total Administrative Costs",1314,1256,1367,1356,1320
01,"Atlantic",1940,"Hamilton Twp","Administration Salaries and Benefits",1097,1070,1134,1121,1105
01,"Atlantic",1940,"Hamilton Twp","Total Operations and Maintenance of Plant",1443,1384,1482,1481,1543
01,"Atlantic",1940,"Hamilton Twp","Operations and Maintenance-Salaries and Benefits",733,721,791,782,785
01,"Atlantic",1940,"Hamilton Twp","Board Contribution to Food Services",0,0,0,0,0
01,"Atlantic",1940,"Hamilton Twp","Total Extracurricular Costs",56,58,61,62,60
01,"Atlantic",1940,"Hamilton Twp","Total Equipment Costs",29,5,0,3,23
01,"Atlantic",1940,"Hamilton Twp","Legal Costs",16,17,25,26,25
01,"Atlantic",1940,"Hamilton Twp","Employee Benefits as a percentage of salaries","35.01%","33.60%","37.50%","34.33%","36.37%"
01,"Atlantic",1960,"Hammonton Town","Total Budgetary Comparative Per Pupil Cost",11582,11812,12677,12589,13530
01,"Atlantic",1960,"Hammonton Town","Total Classroom Instruction",7000,7256,7698,7562,7984
01,"Atlantic",1960,"Hammonton Town","Classroom-Salaries and Benefits",6762,6872,7435,7265,7658
01,"Atlantic",1960,"Hammonton Town","Classroom-General Supplies and Textbooks",192,310,198,226,258
01,"Atlantic",1960,"Hammonton Town","Classroom-Purchased Services",45,74,65,70,68
01,"Atlantic",1960,"Hammonton Town","Total Support Services",1605,1650,1850,1852,1935
01,"Atlantic",1960,"Hammonton Town","Support Services-Salaries and Benefits",1449,1480,1633,1641,1717
01,"Atlantic",1960,"Hammonton Town","Total Administrative Costs",1206,1220,1322,1367,1364
01,"Atlantic",1960,"Hammonton Town","Administration Salaries and Benefits",987,989,1045,1061,1068
01,"Atlantic",1960,"Hammonton Town","Total Operations and Maintenance of Plant",1363,1291,1381,1381,1797
01,"Atlantic",1960,"Hammonton Town","Operations and Maintenance-Salaries and Benefits",575,642,696,687,737
01,"Atlantic",1960,"Hammonton Town","Board Contribution to Food Services",22,0,0,0,0
01,"Atlantic",1960,"Hammonton Town","Total Extracurricular Costs",283,296,315,320,331
01,"Atlantic",1960,"Hammonton Town","Total Equipment Costs",24,80,29,79,373
01,"Atlantic",1960,"Hammonton Town","Legal Costs",35,46,42,50,50
01,"Atlantic",1960,"Hammonton Town","Employee Benefits as a percentage of salaries","27.42%","25.18%","26.84%","24.28%","25.46%"
01,"Atlantic",2680,"Linwood City","Total Budgetary Comparative Per Pupil Cost",15919,16294,17379,17750,17904
01,"Atlantic",2680,"Linwood City","Total Classroom Instruction",9315,9554,10215,10391,10497
01,"Atlantic",2680,"Linwood City","Classroom-Salaries and Benefits",8933,9247,9832,9992,9955
01,"Atlantic",2680,"Linwood City","Classroom-General Supplies and Textbooks",277,204,259,271,331
01,"Atlantic",2680,"Linwood City","Classroom-Purchased Services",106,103,124,127,210
01,"Atlantic",2680,"Linwood City","Total Support Services",2496,2698,2948,2998,3027
01,"Atlantic",2680,"Linwood City","Support Services-Salaries and Benefits",2303,2493,2677,2720,2734
01,"Atlantic",2680,"Linwood City","Total Administrative Costs",1917,1949,2003,2093,2025
01,"Atlantic",2680,"Linwood City","Administration Salaries and Benefits",1499,1530,1519,1544,1512
01,"Atlantic",2680,"Linwood City","Total Operations and Maintenance of Plant",2041,1902,2024,2076,2160
