"","CO","DIST","WLT_EQVL","WLT_INCM","WENR_ENR","adq_bud","regcode","distname","cox","distx","coname","SDA","optype","dfg","reg","BTY","ABBOTT","PRM_cpi","prm_feqa","prm_im","prm_evm","ENS_GRR","target"
"1",1,10,743893642,238747722,943,15845027,NA,"ABSECON CITY","01","0010","ATLANTIC",NA,"2","CD",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"2",1,110,2868251380,383269562,6944,138064413,NA,"ATLANTIC CITY","01","0110","ATLANTIC",NA,"3","A",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"3",1,120,NA,NA,2453,40151619,NA,"ATLANTIC CO VOCATIONAL","01","0120","ATLANTIC",NA,"8","",NA,8,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"4",1,570,3374079128,257900527,544,8973994,NA,"BRIGANTINE CITY","01","0570","ATLANTIC",NA,"2","CD",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"5",1,590,858154893,244547727,1592,27415484,NA,"BUENA REGIONAL","01","0590","ATLANTIC",NA,"3","A",1,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"6",1,960,51258081,10942340,72,1063712,NA,"CORBIN CITY","01","0960","ATLANTIC",NA,"0","",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"7",1,1300,144430966,49971832,493,9295881,1790,"EGG HARBOR CITY","01","1300","ATLANTIC",NA,"2","A",NA,2,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"8",1,1310,4333866422,1254248367,7693,125448236,NA,"EGG HARBOR TWP","01","1310","ATLANTIC",NA,"3","CD",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"9",1,1410,166931015,47305557,252,3695825,NA,"ESTELL MANOR CITY","01","1410","ATLANTIC",NA,"2","DE",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"10",1,1540,174926903,53094136,459,6922408,NA,"FOLSOM BORO","01","1540","ATLANTIC",NA,"2","CD",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"11",1,1690,2004272053,623183152,3280,55309723,1790,"GALLOWAY TWP","01","1690","ATLANTIC",NA,"2","CD",NA,2,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"12",1,1790,1742823524,544019826,3496,57477491,NA,"GREATER EGG HARBOR REG","01","1790","ATLANTIC",NA,"5","CD",1,5,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"13",1,1940,1588421735,483534665,2801,48163078,1790,"HAMILTON TWP","01","1940","ATLANTIC",NA,"2","CD",NA,2,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"14",1,1960,1452931835,421354978,2854,46795702,NA,"HAMMONTON TOWN","01","1960","ATLANTIC",NA,"3","B",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"15",1,2680,620545114,255567871,772,10951928,2910,"LINWOOD CITY","01","2680","ATLANTIC",NA,"2","GH",NA,2,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"16",1,2780,2001192623,54001143,65,865763,NA,"LONGPORT","01","2780","ATLANTIC",NA,"0","",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"17",1,2910,969622960,304050776,1441,21128142,NA,"MAINLAND REGIONAL","01","2910","ATLANTIC",NA,"5","DE",1,5,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"18",1,3020,4249142841,280341331,366,5171365,NA,"MARGATE CITY","01","3020","ATLANTIC",NA,"2","DE",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"19",1,3480,330499508,111964776,606,9922881,1790,"MULLICA TWP","01","3480","ATLANTIC",NA,"2","B",NA,2,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"20",1,3720,600851325,197857019,930,13801506,2910,"NORTHFIELD CITY","01","3720","ATLANTIC",NA,"2","DE",NA,2,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"21",1,4180,763467926,250404000,3938,76715831,NA,"PLEASANTVILLE CITY","01","4180","ATLANTIC",1,"3","A",NA,3,1,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"22",1,4240,130984123,38045166,153,2082243,NA,"PORT REPUBLIC CITY","01","4240","ATLANTIC",NA,"2","FG",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"23",1,4800,761692324,171918525,788,14261899,2910,"SOMERS POINT CITY","01","4800","ATLANTIC",NA,"2","CD",NA,2,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"24",1,5350,2126782659,249201220,814,14319313,NA,"VENTNOR CITY","01","5350","ATLANTIC",NA,"2","B",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"25",1,5760,182398003,57928436,175,2805598,NA,"WEYMOUTH TWP","01","5760","ATLANTIC",NA,"2","B",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"26",3,40,1156011431,415772898,847,11931130,3700,"ALLENDALE BORO","03","0040","BERGEN",NA,"2","I",NA,2,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"27",3,80,1948532713,732649881,202,2839592,NA,"ALPINE BORO","03","0080","BERGEN",NA,"2","I",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"28",3,290,NA,NA,3448,48265789,NA,"BERGEN COUNTY VOCATIONAL","03","0290","BERGEN",NA,"8","",NA,8,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"29",3,300,3191439403,962518533,3899,63181917,NA,"BERGENFIELD BORO","03","0300","BERGEN",NA,"3","FG",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"30",3,440,808100391,246351472,1229,20780121,NA,"BOGOTA BORO","03","0440","BERGEN",NA,"3","DE",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"31",3,740,1649470979,171239955,531,8559202,745,"CARLSTADT BORO","03","0740","BERGEN",NA,"2","DE",NA,2,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"32",3,745,1429094501,162099810,633,10163835,NA,"CARLSTADT-EAST RUTHERFORD","03","0745","BERGEN",NA,"5","CD",1,5,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"33",3,890,3535127573,819146142,2820,51268273,NA,"CLIFFSIDE PARK BORO","03","0890","BERGEN",NA,"3","B",NA,3,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
"34",3,930,1656169027,472509100,1228,17813633,3710,"CLOSTER BORO","03","0930","BERGEN",NA,"2","I",NA,2,NA,0.017,7784341212,0.049819447,0.014523812,-0.000694,7911180840.14525
